Metabolites,0014_LC_20171106_sample_0015,0014_LC_20171106_sample_0049,0014_LC_20171107_sample_0065,0014_LC_20171111_sample_183,0014_LC_20171111_sample_196,0014_LC_20171106_sample_0045,0014_LC_20171106_sample_0047,0014_LC_20171107_sample_0083,0014_LC_20171107_sample_0089,0014_LC_20171110_sample_139,0014_LC_20171106_sample_0024,0014_LC_20171106_sample_0037,0014_LC_20171110_sample_108,0014_LC_20171111_sample_165,0014_LC_20171112_sample_224,0014_LC_20171106_sample_0012,0014_LC_20171106_sample_0023,0014_LC_20171106_sample_0027,0014_LC_20171110_sample_103,0014_LC_20171110_sample_128,0014_LC_20171107_sample_0099,0014_LC_20171110_sample_109,0014_LC_20171110_sample_135,0014_LC_20171111_sample_158,0014_LC_20171111_sample_166,0014_LC_20171106_sample_0014,0014_LC_20171107_sample_0055,0014_LC_20171110_sample_125,0014_LC_20171111_sample_169,0014_LC_20171111_sample_197,0014_LC_20171106_sample_0048,0014_LC_20171107_sample_0053,0014_LC_20171107_sample_0097,0014_LC_20171111_sample_154,0014_LC_20171111_sample_164,0014_LC_20171107_sample_0056,0014_LC_20171107_sample_0076,0014_LC_20171107_sample_0084,0014_LC_20171110_sample_140,0014_LC_20171111_sample_162
PC(38:2),0.09,0.1,0.07,0.11,0.13,0.12,0.13,0.2,0.24,0.11,0.1,0.1,0.12,0.12,0.12,0.07,0.16,0.07,0.14,0.21,0.11,0.13,0.16,0.12,0.14,0.1,0.13,0.15,0.17,0.08,0.16,0.09,0.17,0.12,0.1,0.07,0.13,0.16,0.11,0.16
PC(38:3),0.32,0.18,0.52,0.47,0.34,0.39,0.78,1.15,1.54,0.3,1.14,0.46,0.48,0.52,0.23,0.49,0.94,0.79,0.7,1.27,1.58,0.6,0.79,0.56,0.28,0.15,0.69,0.72,0.9,1.61,1.02,0.17,0.96,0.34,0.39,0.81,0.61,0.83,0.29,0.91
PC(38:4),1.33,0.37,1.35,1.91,0.46,0.86,2.15,2.24,5.44,0.47,3.02,0.64,1.16,0.58,0.3,1.38,2.14,1.64,0.95,3.75,3.74,1.87,2.03,1.49,0.37,0.17,1.8,1.92,2.04,3.59,2.64,0.14,1.65,0.42,1.02,1.79,1.42,1.94,0.4,2.32
PC(38:4),0.1,0.07,0.12,0.11,0.46,0.13,0.17,0.22,0.26,0.09,0.3,0.18,0.12,0.18,0.08,0.14,0.18,0.18,0.12,0.27,0.27,0.15,0.19,0.13,0.37,0.07,0.16,0.18,0.24,0.25,0.19,0.07,0.27,0.08,0.12,0.17,0.16,0.22,0.08,0.19
PC(38:4),1.26,0.1,1.3,1.83,0.1,0.1,1.96,2.09,5.35,0.1,2.91,0.1,1.11,0.1,0.11,1.27,2.08,0.12,0.11,3.71,3.71,1.79,1.95,1.45,0.1,0.09,1.65,1.84,1.95,3.55,2.51,0.07,1.62,0.1,0.99,1.68,1.4,1.8,0.1,2.28
PC(38:5),0.64,0.19,0.28,0.82,0.15,0.29,1.23,1.2,1,0.3,0.78,0.58,0.67,0.6,0.17,0.69,1.13,0.81,0.36,0.59,0.76,1.16,1.05,0.99,0.15,0.11,0.97,0.95,1.1,0.69,0.46,0.09,0.95,0.16,0.51,0.91,0.61,1.1,0.17,0.43
PC(38:5),0.3,0.09,0.17,0.28,0.09,0.12,0.31,0.42,0.47,0.14,0.46,0.29,0.21,0.24,0.09,0.24,0.32,0.3,0.14,0.41,0.53,0.48,0.45,0.68,0.09,0.07,0.25,0.27,0.38,0.36,0.31,0.07,0.37,0.1,0.31,0.23,0.19,1.05,0.09,0.27
PC(38:6),0.09,0.12,0.09,0.1,0.09,0.09,0.14,0.13,0.21,0.08,0.15,0.08,0.1,0.08,0.15,0.1,0.13,0.11,0.09,0.15,0.17,0.13,0.13,0.12,0.07,0.11,0.12,0.12,0.13,0.15,0.13,0.07,0.12,0.13,0.09,0.12,0.11,0.13,0.12,0.12
PC(38:6),0.99,0.15,1,1.23,0.14,0.39,2.1,1.72,5.89,0.31,2.15,0.51,0.85,0.37,0.14,0.87,1.45,0.81,0.31,2.43,3.2,2.85,2.09,2.57,0.2,0.09,1.11,1.02,1.43,2.27,2.14,0.08,1.36,0.14,0.88,1.7,1.09,2.03,0.16,1.38
PC(38:6),0.14,0.07,0.08,0.15,0.07,0.07,0.2,0.22,0.11,0.09,0.09,0.11,0.1,0.09,0.07,0.12,0.18,0.15,0.08,0.08,0.12,0.11,0.19,0.18,0.07,0.07,0.17,0.16,0.18,0.09,0.07,0.06,0.15,0.07,0.1,0.14,0.11,0.33,0.07,0.07
PC(39:6),0.07,0.06,0.08,0.08,0.07,0.07,0.08,0.09,0.12,0.07,0.08,0.07,0.08,0.07,0.06,0.08,0.09,0.08,0.07,0.11,0.08,0.12,0.12,0.1,0.07,0.06,0.09,0.09,0.1,0.09,0.1,0.06,0.09,0.06,0.08,0.09,0.08,0.12,0.07,0.09
PC(40:4),0.08,0.07,0.09,0.09,0.07,0.07,0.11,0.12,0.18,0.07,0.15,0.09,0.09,0.09,0.07,0.08,0.11,0.11,0.09,0.16,0.16,0.1,0.11,0.08,0.07,0.07,0.11,0.11,0.12,0.15,0.12,0.07,0.14,0.07,0.08,0.1,0.13,0.11,0.07,0.11
PC(40:4),0.08,0.07,0.09,0.08,0.07,0.07,0.1,0.11,0.08,0.07,0.09,0.08,0.07,0.09,0.07,0.07,0.07,0.1,0.09,0.09,0.09,0.09,0.1,0.07,0.07,0.07,0.1,0.1,0.12,0.08,0.08,0.07,0.13,0.07,0.07,0.07,0.12,0.08,0.07,0.08
PC(40:4),0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.17,0.07,0.14,0.08,0.09,0.09,0.07,0.09,0.07,0.1,0.09,0.15,0.15,0.09,0.1,0.07,0.07,0.07,0.09,0.1,0.11,0.14,0.12,0.07,0.07,0.07,0.08,0.07,0.11,0.07,0.07,0.11
PC(40:5),0.07,0.06,0.09,0.07,0.07,0.07,0.09,0.1,0.17,0.07,0.23,0.08,0.09,0.08,0.07,0.08,0.1,0.1,0.08,0.23,0.19,0.09,0.09,0.08,0.07,0.07,0.09,0.09,0.1,0.16,0.15,0.06,0.11,0.07,0.08,0.1,0.1,0.11,0.07,0.15
PC(40:5),0.15,0.08,0.09,0.2,0.07,0.1,0.23,0.25,0.24,0.09,0.13,0.18,0.17,0.18,0.07,0.15,0.22,0.18,0.1,0.16,0.14,0.27,0.23,0.27,0.07,0.07,0.18,0.19,0.24,0.18,0.12,0.07,0.27,0.07,0.14,0.19,0.16,0.24,0.08,0.13
PC(40:5),0.1,0.07,0.12,0.13,0.07,0.09,0.15,0.16,0.41,0.08,0.19,0.09,0.11,0.09,0.07,0.1,0.14,0.11,0.09,0.25,0.28,0.22,0.18,0.21,0.07,0.07,0.12,0.12,0.14,0.21,0.19,0.07,0.16,0.07,0.11,0.15,0.13,0.17,0.07,0.15
PC(40:6),0.31,0.1,0.5,0.49,0.11,0.21,0.59,0.63,2.34,0.14,0.91,0.25,0.33,0.2,0.09,0.28,0.52,0.34,0.18,1.26,1.53,1.15,0.82,1.04,0.13,0.07,0.37,0.36,0.54,1.06,0.97,0.07,0.65,0.1,0.33,0.59,0.46,0.7,0.12,0.67
PC(40:6),0.09,0.07,0.06,0.11,0.07,0.07,0.12,0.13,0.1,0.07,0.12,0.08,0.09,0.08,0.07,0.09,0.11,0.1,0.07,0.08,0.09,0.1,0.11,0.1,0.07,0.06,0.1,0.11,0.08,0.08,0.08,0.06,0.09,0.06,0.09,0.11,0.09,0.11,0.07,0.08
PC(40:6),0.31,0.1,0.49,0.11,0.07,0.07,0.59,0.1,0.1,0.07,0.91,0.25,0.08,0.07,0.07,0.28,0.52,0.34,0.07,0.09,0.09,0.1,0.1,1.04,0.07,0.08,0.37,0.09,0.12,0.08,0.94,0.07,0.11,0.06,0.08,0.59,0.08,0.15,0.07,0.08
PC(40:7),0.07,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.06,0.06,0.07,0.07,0.08,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.08,0.06,0.07
PC(40:7),0.1,0.07,0.1,0.13,0.07,0.07,0.15,0.16,0.2,0.07,0.17,0.08,0.08,0.07,0.07,0.09,0.13,0.09,0.07,0.13,0.22,0.17,0.17,0.16,0.06,0.06,0.11,0.1,0.12,0.14,0.13,0.06,0.12,0.06,0.1,0.13,0.1,0.16,0.06,0.1
PC(40:8),0.07,0.06,0.07,0.07,0.06,0.06,0.08,0.08,0.08,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.06,0.07,0.07,0.08,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.08,0.06,0.07
PC(42:5),0.06,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.07,0.07,0.06,0.07
PC(O-32:0),0.09,0.11,0.09,0.1,0.12,0.14,0.14,0.13,0.16,0.11,0.12,0.07,0.09,0.07,0.14,0.09,0.1,0.1,0.13,0.1,0.2,0.12,0.11,0.1,0.12,0.12,0.11,0.11,0.11,0.13,0.09,0.09,0.1,0.1,0.08,0.11,0.1,0.1,0.09,0.1
PC(O-32:1),0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.1,0.12,0.09,0.1,0.07,0.08,0.07,0.11,0.08,0.09,0.08,0.1,0.09,0.15,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.11,0.09,0.08,0.09,0.08,0.07,0.1,0.09,0.09,0.08,0.09
PC(O-34:2),0.17,0.17,0.07,0.16,0.09,0.1,0.21,0.17,0.09,0.11,0.07,0.08,0.09,0.09,0.12,0.13,0.17,0.17,0.1,0.08,0.09,0.18,0.23,0.16,0.09,0.1,0.15,0.16,0.15,0.09,0.07,0.09,0.15,0.08,0.09,0.16,0.14,0.11,0.08,0.07
PC(O-34:3),0.15,0.13,0.07,0.23,0.09,0.1,0.24,0.23,0.09,0.13,0.08,0.09,0.11,0.1,0.13,0.15,0.25,0.21,0.11,0.08,0.1,0.25,0.32,0.21,0.09,0.09,0.2,0.2,0.21,0.09,0.08,0.08,0.16,0.08,0.1,0.18,0.19,0.16,0.09,0.08
PC(O-36:3),0.08,0.1,0.07,0.08,0.07,0.07,0.1,0.1,0.1,0.07,0.08,0.07,0.08,0.07,0.07,0.08,0.09,0.08,0.07,0.08,0.1,0.09,0.1,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.09,0.07,0.07,0.09,0.09,0.09,0.07,0.07
PC(O-36:3),0.1,0.11,0.07,0.13,0.07,0.08,0.12,0.11,0.07,0.08,0.07,0.07,0.08,0.07,0.09,0.09,0.1,0.09,0.08,0.07,0.07,0.1,0.11,0.1,0.08,0.08,0.09,0.1,0.1,0.07,0.08,0.07,0.09,0.07,0.07,0.09,0.09,0.08,0.07,0.08
PC(O-36:3),0.08,0.1,0.07,0.11,0.07,0.08,0.1,0.1,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.09,0.1,0.08,0.08,0.1,0.09,0.11,0.09,0.07,0.08,0.09,0.1,0.09,0.09,0.07,0.07,0.09,0.07,0.08,0.1,0.09,0.09,0.07,0.08
PC(O-36:3),0.08,0.08,0.07,0.1,0.07,0.08,0.12,0.11,0.08,0.09,0.08,0.07,0.07,0.07,0.08,0.09,0.12,0.11,0.09,0.07,0.09,0.11,0.14,0.1,0.07,0.07,0.1,0.1,0.1,0.08,0.07,0.07,0.09,0.07,0.07,0.1,0.1,0.09,0.07,0.07
PC(O-36:4),0.22,0.12,0.13,0.08,0.09,0.15,0.39,0.09,0.39,0.07,0.25,0.12,0.2,0.07,0.11,0.07,0.29,0.27,0.07,0.08,0.09,0.33,0.41,0.08,0.1,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.28,0.09,0.07,0.08,0.31,0.08,0.1,0.18
PC(O-36:4),0.22,0.12,0.14,0.27,0.09,0.16,0.44,0.44,0.45,0.13,0.26,0.13,0.22,0.12,0.12,0.25,0.34,0.32,0.15,0.25,0.41,0.38,0.44,0.3,0.11,0.09,0.35,0.38,0.33,0.31,0.18,0.08,0.32,0.09,0.17,0.37,0.35,0.29,0.1,0.18
PC(O-36:4),0.22,0.12,0.07,0.25,0.07,0.15,0.39,0.41,0.39,0.07,0.08,0.11,0.2,0.07,0.11,0.23,0.29,0.27,0.08,0.08,0.1,0.33,0.12,0.28,0.1,0.08,0.32,0.35,0.31,0.09,0.08,0.08,0.28,0.07,0.08,0.33,0.3,0.27,0.07,0.08
PC(O-36:5),0.15,0.09,0.12,0.2,0.08,0.11,0.24,0.25,0.27,0.1,0.18,0.1,0.14,0.1,0.1,0.16,0.22,0.19,0.12,0.19,0.28,0.23,0.33,0.22,0.09,0.07,0.22,0.23,0.2,0.23,0.16,0.07,0.2,0.08,0.15,0.25,0.2,0.21,0.09,0.16
PC(O-38:3) or PC(P-38:2),0.07,0.06,0.07,0.07,0.06,0.07,0.1,0.09,0.08,0.07,0.07,0.06,0.07,0.07,0.06,0.07,0.09,0.08,0.07,0.07,0.08,0.09,0.08,0.07,0.06,0.07,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.06,0.07,0.08,0.08,0.07,0.06,0.07
PC(O-38:4),0.07,0.07,0.08,0.08,0.07,0.08,0.1,0.09,0.14,0.07,0.11,0.07,0.08,0.07,0.07,0.08,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.07,0.07,0.09,0.09,0.09,0.08,0.07,0.06,0.08,0.07,0.07,0.08,0.08,0.08,0.07,0.07
PC(O-38:4),0.07,0.07,0.08,0.08,0.08,0.08,0.1,0.1,0.14,0.07,0.11,0.08,0.08,0.07,0.08,0.08,0.09,0.09,0.08,0.12,0.14,0.09,0.09,0.14,0.07,0.07,0.09,0.09,0.08,0.11,0.09,0.07,0.09,0.07,0.08,0.1,0.09,0.09,0.08,0.09
PC(O-38:4),0.1,0.08,0.09,0.13,0.08,0.12,0.24,0.24,0.22,0.1,0.12,0.08,0.13,0.08,0.08,0.15,0.2,0.18,0.12,0.14,0.19,0.19,0.2,0.13,0.08,0.07,0.19,0.2,0.18,0.18,0.11,0.07,0.16,0.08,0.1,0.19,0.19,0.17,0.09,0.11
PC(O-38:5),0.21,0.1,0.11,0.26,0.08,0.14,0.43,0.39,0.26,0.12,0.2,0.13,0.22,0.13,0.09,0.21,0.29,0.22,0.14,0.17,0.28,0.31,0.34,0.26,0.09,0.08,0.32,0.31,0.29,0.21,0.13,0.07,0.25,0.08,0.16,0.31,0.26,0.24,0.09,0.13
PC(O-38:5),0.08,0.07,0.07,0.1,0.07,0.08,0.12,0.12,0.1,0.07,0.08,0.07,0.08,0.07,0.07,0.09,0.11,0.1,0.08,0.09,0.1,0.11,0.14,0.11,0.07,0.06,0.1,0.11,0.1,0.09,0.08,0.06,0.1,0.07,0.08,0.11,0.1,0.1,0.07,0.08
PC(O-38:5),0.07,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.11,0.07,0.09,0.07,0.07,0.07,0.07,0.07,0.11,0.08,0.08,0.1,0.11,0.11,0.15,0.11,0.07,0.06,0.11,0.08,0.11,0.1,0.09,0.06,0.1,0.07,0.07,0.08,0.08,0.08,0.07,0.09
PC(O-38:6),0.08,0.07,0.08,0.08,0.07,0.07,0.09,0.09,0.19,0.07,0.1,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.1,0.08,0.1,0.1,0.11,0.07,0.06,0.08,0.08,0.08,0.07,0.09,0.06,0.08,0.07,0.07,0.11,0.1,0.09,0.07,0.1
PC(O-38:6),0.09,0.07,0.08,0.14,0.07,0.07,0.11,0.11,0.19,0.07,0.1,0.08,0.09,0.09,0.07,0.09,0.1,0.11,0.08,0.1,0.18,0.14,0.12,0.14,0.07,0.06,0.1,0.1,0.1,0.1,0.09,0.06,0.1,0.07,0.09,0.11,0.1,0.1,0.07,0.1
PC(O-38:6),0.11,0.07,0.08,0.11,0.07,0.09,0.11,0.1,0.2,0.07,0.11,0.08,0.11,0.08,0.07,0.1,0.09,0.09,0.07,0.11,0.18,0.18,0.13,0.13,0.07,0.06,0.09,0.09,0.09,0.13,0.11,0.06,0.13,0.07,0.11,0.12,0.11,0.1,0.07,0.1
PC(O-40:5),0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.07,0.07,0.06,0.07,0.07,0.07,0.08,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
PC(O-40:5),0.07,0.07,0.07,0.08,0.07,0.07,0.13,0.11,0.09,0.07,0.07,0.07,0.09,0.07,0.07,0.08,0.09,0.08,0.07,0.08,0.09,0.1,0.09,0.09,0.07,0.06,0.1,0.1,0.09,0.08,0.07,0.06,0.09,0.07,0.07,0.09,0.09,0.09,0.07,0.07
PC(O-40:6),0.08,0.07,0.06,0.09,0.06,0.07,0.11,0.1,0.08,0.07,0.07,0.07,0.08,0.07,0.06,0.07,0.08,0.08,0.07,0.07,0.07,0.09,0.09,0.09,0.06,0.06,0.08,0.08,0.08,0.07,0.07,0.06,0.08,0.06,0.07,0.08,0.08,0.08,0.06,0.07
PC(O-40:6),0.07,0.06,0.07,0.08,0.06,0.07,0.1,0.09,0.07,0.07,0.07,0.07,0.08,0.07,0.06,0.08,0.08,0.08,0.07,0.07,0.07,0.11,0.07,0.1,0.06,0.06,0.09,0.09,0.09,0.09,0.08,0.06,0.08,0.06,0.08,0.1,0.09,0.09,0.07,0.08
PC(O-40:6),0.07,0.06,0.07,0.08,0.06,0.07,0.1,0.09,0.11,0.07,0.07,0.07,0.08,0.07,0.06,0.08,0.08,0.08,0.07,0.08,0.09,0.12,0.1,0.11,0.06,0.06,0.09,0.09,0.09,0.09,0.08,0.06,0.08,0.06,0.08,0.1,0.09,0.1,0.07,0.08
PC(P-18:0/22:6),0.09,0.07,0.07,0.09,0.06,0.07,0.11,0.11,0.11,0.07,0.08,0.07,0.09,0.07,0.06,0.08,0.09,0.08,0.07,0.08,0.11,0.13,0.12,0.13,0.07,0.06,0.1,0.09,0.09,0.09,0.08,0.06,0.09,0.06,0.08,0.1,0.09,0.1,0.07,0.07
PE(36:4),0.17,0.16,0.18,0.17,0.16,0.16,0.19,0.19,0.26,0.17,0.19,0.18,0.18,0.19,0.16,0.18,0.19,0.19,0.17,0.19,0.2,0.18,0.19,0.17,0.16,0.16,0.19,0.18,0.19,0.19,0.19,0.16,0.19,0.16,0.17,0.18,0.18,0.18,0.16,0.18
PE(38:4),0.19,0.17,0.19,0.23,0.16,0.18,0.27,0.26,0.35,0.18,0.21,0.21,0.22,0.23,0.17,0.21,0.25,0.25,0.18,0.25,0.21,0.22,0.24,0.21,0.16,0.16,0.27,0.26,0.27,0.24,0.21,0.16,0.23,0.17,0.19,0.22,0.21,0.22,0.18,0.21
PE(38:6),0.17,0.16,0.18,0.18,0.16,0.16,0.2,0.2,0.37,0.16,0.19,0.19,0.18,0.18,0.16,0.18,0.19,0.19,0.16,0.19,0.22,0.21,0.19,0.19,0.16,0.16,0.19,0.18,0.18,0.21,0.2,0.16,0.2,0.16,0.17,0.18,0.18,0.19,0.16,0.19
PE(O-16:0/22:6) or PE(P-18:0/20:5),0.17,0.22,0.22,0.17,0.17,0.23,0.19,0.18,0.22,0.19,0.19,0.21,0.23,0.21,0.2,0.17,0.18,0.18,0.22,0.19,0.22,0.2,0.24,0.26,0.19,0.16,0.18,0.19,0.18,0.21,0.22,0.2,0.18,0.18,0.18,0.18,0.17,0.19,0.19,0.2
PE(O-16:0/22:6) or PE(P-18:0/20:5),0.22,0.22,0.22,0.23,0.19,0.24,0.33,0.27,0.22,0.19,0.19,0.2,0.23,0.21,0.2,0.21,0.26,0.26,0.22,0.2,0.22,0.26,0.34,0.28,0.19,0.17,0.29,0.29,0.26,0.21,0.22,0.21,0.27,0.18,0.22,0.29,0.25,0.26,0.19,0.2
PE(O-38:5) or PE(P-38:4),0.2,0.17,0.17,0.22,0.16,0.2,0.29,0.26,0.21,0.17,0.17,0.18,0.21,0.18,0.17,0.22,0.26,0.26,0.2,0.19,0.19,0.25,0.42,0.25,0.17,0.16,0.26,0.28,0.25,0.19,0.17,0.16,0.26,0.17,0.21,0.27,0.24,0.25,0.17,0.17
PE(O-38:5) or PE(P-38:4),0.21,0.17,0.17,0.22,0.16,0.2,0.3,0.26,0.21,0.17,0.17,0.18,0.21,0.18,0.17,0.22,0.27,0.26,0.2,0.2,0.19,0.25,0.17,0.26,0.17,0.16,0.27,0.18,0.26,0.19,0.17,0.16,0.27,0.17,0.21,0.28,0.25,0.26,0.17,0.17
PE(P-18:0/22:6),0.19,0.16,0.17,0.2,0.16,0.18,0.23,0.22,0.19,0.17,0.17,0.17,0.19,0.17,0.16,0.19,0.21,0.2,0.18,0.18,0.18,0.26,0.31,0.29,0.17,0.16,0.21,0.22,0.21,0.18,0.17,0.16,0.2,0.16,0.2,0.22,0.21,0.21,0.17,0.17
PI(18:0/20:4),0.39,0.25,0.28,0.43,0.24,0.35,0.63,0.63,0.7,0.26,0.4,0.3,0.37,0.28,0.29,0.43,0.51,0.43,0.37,0.4,0.53,0.63,0.58,0.56,0.25,0.2,0.55,0.56,0.63,0.46,0.38,0.18,0.52,0.25,0.34,0.55,0.43,0.51,0.23,0.33
SM(d16:1/18:1) or SM(d18:2/16:0),0.13,0.14,0.11,0.15,0.15,0.19,0.17,0.17,0.23,0.14,0.14,0.11,0.13,0.11,0.14,0.12,0.16,0.14,0.17,0.15,0.21,0.17,0.15,0.14,0.16,0.12,0.14,0.14,0.13,0.15,0.11,0.11,0.13,0.14,0.1,0.13,0.13,0.13,0.12,0.12
SM(d18:0/14:0),0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.07
SM(d18:0/16:0),0.13,0.14,0.1,0.14,0.17,0.2,0.15,0.16,0.17,0.16,0.12,0.1,0.14,0.11,0.16,0.12,0.14,0.13,0.18,0.13,0.16,0.16,0.16,0.15,0.18,0.13,0.15,0.15,0.14,0.13,0.11,0.12,0.14,0.17,0.13,0.14,0.14,0.14,0.13,0.12
SM(d18:0/16:0),0.09,0.1,0.1,0.1,0.11,0.12,0.11,0.1,0.16,0.1,0.14,0.08,0.09,0.08,0.1,0.09,0.1,0.1,0.11,0.11,0.17,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.1,0.14,0.11,0.09,0.1,0.11,0.09,0.1,0.1,0.1,0.09,0.11
SM(d18:1/12:0),0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.06
SM(d18:1/24:0),0.19,0.23,0.14,0.25,0.22,0.26,0.28,0.28,0.38,0.26,0.17,0.13,0.21,0.13,0.13,0.18,0.26,0.22,0.25,0.26,0.32,0.27,0.28,0.26,0.12,0.2,0.29,0.32,0.32,0.25,0.19,0.16,0.22,0.2,0.16,0.22,0.25,0.21,0.19,0.2
SM(d18:2/14:0),0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.06
SM(d18:2/18:1),0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06
SM(d32:1),0.09,0.09,0.08,0.09,0.18,0.2,0.16,0.17,0.12,0.15,0.09,0.11,0.13,0.12,0.15,0.12,0.15,0.14,0.17,0.09,0.11,0.13,0.12,0.13,0.16,0.14,0.13,0.14,0.14,0.09,0.08,0.09,0.12,0.13,0.09,0.15,0.14,0.16,0.12,0.09
SM(d33:1),0.07,0.08,0.07,0.08,0.11,0.12,0.11,0.11,0.09,0.1,0.07,0.08,0.1,0.08,0.09,0.09,0.11,0.1,0.12,0.08,0.09,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.08,0.07,0.08,0.09,0.09,0.08,0.11,0.1,0.11,0.08,0.08
SM(d34:1),0.87,1,0.2,0.59,1.21,1.58,0.84,1.07,1.22,1.11,0.77,0.57,0.9,0.18,0.82,0.63,1.01,0.92,1.22,0.19,0.94,1.04,1.03,0.37,0.61,0.74,0.84,0.28,0.45,0.71,0.42,0.71,0.87,1.28,0.22,0.97,0.86,0.85,0.59,0.2
SM(d34:1),0.87,1,0.47,0.96,1.19,1.56,1.09,1.09,1.22,1.09,0.78,0.58,0.91,0.61,1.07,0.82,1.02,0.93,1.31,0.82,1.1,1.15,1.12,1.06,1.33,0.89,1.11,1.08,0.92,0.83,0.59,0.7,0.88,1.27,0.76,0.98,0.87,0.87,0.84,0.66
SM(d36:0),0.07,0.08,0.08,0.08,0.1,0.1,0.08,0.08,0.1,0.08,0.08,0.07,0.09,0.07,0.09,0.08,0.09,0.08,0.1,0.08,0.1,0.08,0.08,0.08,0.1,0.08,0.09,0.09,0.08,0.09,0.08,0.07,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.08
SM(d36:0),0.07,0.07,0.1,0.07,0.09,0.1,0.07,0.07,0.15,0.07,0.13,0.06,0.08,0.07,0.08,0.07,0.07,0.07,0.08,0.08,0.15,0.07,0.07,0.07,0.09,0.08,0.08,0.08,0.07,0.12,0.1,0.07,0.07,0.08,0.07,0.08,0.07,0.07,0.08,0.1
SM(d36:1),0.17,0.21,0.19,0.21,0.45,0.44,0.26,0.27,0.46,0.22,0.26,0.17,0.35,0.18,0.35,0.22,0.31,0.26,0.5,0.28,0.44,0.28,0.27,0.25,0.4,0.28,0.3,0.31,0.29,0.29,0.2,0.18,0.23,0.33,0.19,0.35,0.29,0.29,0.28,0.24
SM(d36:2),0.1,0.12,0.13,0.13,0.17,0.17,0.12,0.12,0.3,0.11,0.15,0.1,0.15,0.11,0.14,0.11,0.13,0.12,0.18,0.19,0.29,0.14,0.13,0.12,0.18,0.11,0.13,0.13,0.12,0.19,0.13,0.1,0.11,0.16,0.11,0.14,0.12,0.12,0.13,0.16
SM(d38:1),0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
