Metabolites,0014_LC_20171106_sample_0015,0014_LC_20171106_sample_0049,0014_LC_20171107_sample_0065,0014_LC_20171111_sample_183,0014_LC_20171111_sample_196,0014_LC_20171106_sample_0045,0014_LC_20171106_sample_0047,0014_LC_20171107_sample_0083,0014_LC_20171107_sample_0089,0014_LC_20171110_sample_139,0014_LC_20171106_sample_0024,0014_LC_20171106_sample_0037,0014_LC_20171110_sample_108,0014_LC_20171111_sample_165,0014_LC_20171112_sample_224,0014_LC_20171106_sample_0012,0014_LC_20171106_sample_0023,0014_LC_20171106_sample_0027,0014_LC_20171110_sample_103,0014_LC_20171110_sample_128,0014_LC_20171107_sample_0099,0014_LC_20171110_sample_109,0014_LC_20171110_sample_135,0014_LC_20171111_sample_158,0014_LC_20171111_sample_166,0014_LC_20171106_sample_0014,0014_LC_20171107_sample_0055,0014_LC_20171110_sample_125,0014_LC_20171111_sample_169,0014_LC_20171111_sample_197,0014_LC_20171106_sample_0048,0014_LC_20171107_sample_0053,0014_LC_20171107_sample_0097,0014_LC_20171111_sample_154,0014_LC_20171111_sample_164,0014_LC_20171107_sample_0056,0014_LC_20171107_sample_0076,0014_LC_20171107_sample_0084,0014_LC_20171110_sample_140,0014_LC_20171111_sample_162
LPC(22:6),0.09,0.09,0.11,0.1,0.1,0.12,0.09,0.09,0.17,0.1,0.1,0.09,0.09,0.08,0.09,0.08,0.09,0.08,0.1,0.1,0.14,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.1,0.09
PC(16:0/16:0),0.01,0.07,0.08,0.03,0.23,0.24,0.18,0.12,0.44,0.09,0.44,0.01,0.05,0.01,0.3,0,0.07,0.06,0.2,0.28,0.56,0.14,0.11,0.1,0.23,0.07,0.09,0.09,0.12,0.34,0.15,0.01,0.12,0.11,0.01,0.09,0.05,0.09,0.08,0.16
PC(16:0/18:1),1.46,1.62,1.25,1.62,2.77,2.99,3.47,3.51,4.54,2.5,3.97,1.87,1.95,2.29,3.73,2.65,4.47,3.73,4.13,2.45,4.36,3.36,3.35,2.8,2.85,2.21,3.25,3.52,4.52,2.97,2.17,1.71,3.51,2.06,1.81,3.41,2.44,3.05,2.03,2.54
PC(16:0e/18:1(9Z)),0.04,0.06,0.02,0.06,0.08,0.09,0.12,0.11,0.09,0.07,0.06,0.03,0.05,0.02,0.11,0.05,0.08,0.06,0.1,0.04,0.11,0.09,0.08,0.06,0.07,0.08,0.07,0.07,0.07,0.06,0.03,0.03,0.06,0.05,0.03,0.07,0.06,0.06,0.04,0.03
PC(18:0/18:0),0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
PC(18:0p/18:1(9Z)),0.02,0.02,0,0.03,0.02,0.02,0.05,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.03,0.03,0.01,0.02,0.04,0.04,0.02,0.01,0.02,0.03,0.03,0.03,0.01,0,0.01,0.02,0.01,0.01,0.03,0.03,0.02,0.01,0
PC(18:0p/22:6),0,0,0,0.01,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0.01,0.02,0.02,0.02,0,0,0.01,0.01,0.01,0,0,0,0.01,0,0,0.01,0.01,0.01,0,0
PC(30:0),0.08,0.08,0.09,0.08,0.17,0.13,0.12,0.13,0.13,0.1,0.13,0.09,0.09,0.09,0.13,0.09,0.11,0.12,0.13,0.12,0.18,0.1,0.11,0.11,0.14,0.09,0.11,0.13,0.15,0.12,0.1,0.08,0.15,0.1,0.08,0.09,0.09,0.12,0.11,0.11
PC(31:0),0.06,0.07,0.07,0.06,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
PC(31:0),0.06,0.07,0.07,0.06,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
PC(32:1),0.13,0.14,0.25,0.13,0.34,0.3,0.32,0.41,0.68,0.22,0.72,0.31,0.25,0.4,0.37,0.2,0.33,0.34,0.33,0.38,1,0.25,0.29,0.23,0.26,0.16,0.32,0.35,0.57,0.52,0.34,0.16,0.47,0.17,0.17,0.3,0.19,0.31,0.21,0.42
PC(32:2),0.09,0.08,0.07,0.09,0.08,0.07,0.12,0.13,0.08,0.09,0.08,0.09,0.08,0.09,0.08,0.08,0.1,0.1,0.07,0.07,0.09,0.09,0.09,0.09,0.07,0.07,0.12,0.12,0.14,0.07,0.07,0.07,0.11,0.07,0.07,0.09,0.08,0.1,0.07,0.07
PC(33:0),0.06,0.06,0.07,0.06,0.08,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.08,0.07,0.08,0.07,0.07,0.07,0.08,0.08,0.09,0.1,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.09
PC(33:1),0.07,0.07,0.08,0.07,0.11,0.1,0.11,0.12,0.11,0.09,0.11,0.1,0.09,0.1,0.1,0.1,0.13,0.12,0.13,0.11,0.12,0.11,0.13,0.11,0.09,0.08,0.12,0.14,0.18,0.11,0.09,0.08,0.12,0.08,0.08,0.11,0.09,0.12,0.08,0.11
PC(34:2),5.68,4.74,1.35,6.59,3.42,4.11,8.86,8.13,4.41,5.67,2.92,4.51,6.09,5.72,7.2,6.19,8.76,7.17,4.93,2.54,3.94,7.52,7.14,7.25,4.85,3.9,8.36,9.06,9.31,3.53,1.92,1.95,6.44,3.74,3.67,7.11,7.11,6.16,4.6,2.19
PC(34:3),0.14,0.1,0.08,0.23,0.11,0.12,0.32,0.36,0.12,0.18,0.09,0.18,0.15,0.18,0.13,0.22,0.23,0.28,0.13,0.1,0.11,0.26,0.27,0.24,0.11,0.09,0.22,0.32,0.31,0.1,0.08,0.09,0.25,0.1,0.15,0.16,0.18,0.2,0.11,0.08
PC(34:3),0.15,0.1,0.08,0.19,0.1,0.11,0.33,0.32,0.09,0.16,0.09,0.18,0.15,0.18,0.11,0.19,0.19,0.19,0.12,0.11,0.11,0.22,0.23,0.21,0.1,0.09,0.22,0.27,0.23,0.1,0.08,0.08,0.17,0.1,0.14,0.17,0.16,0.21,0.1,0.11
PC(35:1),0.08,0.08,0.08,0.08,0.14,0.13,0.14,0.15,0.12,0.1,0.11,0.1,0.1,0.1,0.12,0.12,0.17,0.15,0.17,0.12,0.12,0.14,0.18,0.13,0.11,0.1,0.15,0.16,0.23,0.13,0.1,0.09,0.14,0.1,0.09,0.14,0.12,0.17,0.1,0.11
PC(35:2),0.13,0.12,0.08,0.15,0.14,0.14,0.26,0.23,0.1,0.14,0.1,0.14,0.16,0.13,0.17,0.19,0.26,0.21,0.17,0.11,0.11,0.21,0.27,0.21,0.12,0.11,0.29,0.31,0.35,0.13,0.09,0.09,0.17,0.12,0.11,0.22,0.2,0.23,0.12,0.1
PC(35:3),0.07,0.07,0.06,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.07,0.06,0.08,0.07,0.07,0.08,0.08,0.08,0.07,0.07
PC(35:3),0.07,0.07,0.06,0.08,0.07,0.07,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.09,0.08,0.07,0.07,0.09,0.08,0.09,0.07,0.07,0.06,0.08,0.07,0.07,0.08,0.07,0.09,0.07,0.07
PC(35:3),0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.06,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.09,0.07,0.07
